Season,Team,MFB_Rank,MFB_W,MFB_L,MBA_Rank,MBA_W,MBA_L,MBB_Rank,MBB_W,MBB_L,WBB_Rank,WBB_W,WBB_L,WSB_Rank,WSB_W,WSB_L,WVB_Rank,WVB_W,WVB_L
2006-07,Air Force,67,4,8,292.0,8.0,44.0,29.0,26.0,9.0,254.0,6.0,23.0,,,,267.0,3.0,25.0
2007-08,Air Force,53,9,4,273.0,18.0,33.0,169.0,16.0,14.0,233.0,10.0,19.0,,,,250.0,7.0,24.0
2008-09,Air Force,67,8,5,281.0,14.0,37.0,275.0,10.0,21.0,304.0,4.0,26.0,,,,295.0,5.0,24.0
2009-10,Air Force,44,8,5,248.0,13.0,42.0,247.0,10.0,21.0,314.0,3.0,27.0,,,,250.0,8.0,21.0
2010-11,Air Force,45,9,4,231.0,19.0,36.0,114.0,16.0,16.0,274.0,9.0,22.0,,,,266.0,4.0,25.0
2011-12,Air Force,61,7,6,260.0,14.0,39.0,174.0,13.0,16.0,308.0,6.0,24.0,,,,248.0,3.0,27.0
2012-13,Air Force,101,6,7,256.0,15.0,39.0,79.0,18.0,14.0,324.0,4.0,26.0,,,,181.0,9.0,21.0
2013-14,Air Force,115,2,10,223.0,20.0,34.0,247.0,12.0,18.0,343.0,1.0,28.0,,,,218.0,8.0,24.0
2014-15,Air Force,81,10,3,183.0,23.0,29.0,246.0,14.0,17.0,345.0,2.0,28.0,,,,206.0,13.0,19.0
2015-16,Air Force,71,8,6,177.0,30.0,27.0,222.0,14.0,18.0,341.0,1.0,29.0,,,,205.0,12.0,21.0
2016-17,Air Force,68,10,3,202.0,27.0,26.0,249.0,12.0,21.0,322.0,4.0,25.0,,,,253.0,10.0,21.0
2017-18,Air Force,88,5,7,155.0,24.0,30.0,252.0,12.0,19.0,288.0,6.0,25.0,,,,203.0,14.0,18.0
2018-19,Air Force,78,5,7,122.0,26.0,26.0,244.0,14.0,18.0,297.0,8.0,22.0,,,,160.0,14.0,15.0
2019-20,Air Force,38,11,2,185.0,7.0,12.0,220.0,11.0,20.0,270.0,9.0,21.0,,,,263.0,8.0,22.0
2020-21,Air Force,74,3,3,57.0,26.0,22.0,315.0,5.0,20.0,255.0,7.0,17.0,,,,189.0,7.0,6.0
2021-22,Air Force,66,10,3,116.0,23.0,25.0,229.0,11.0,18.0,137.0,17.0,14.0,,,,258.0,7.0,21.0
2006-07,Akron,88,5,7,202.0,23.0,24.0,68.0,26.0,7.0,262.0,10.0,19.0,195.0,17.0,25.0,255.0,7.0,24.0
2007-08,Akron,101,4,8,169.0,25.0,24.0,57.0,24.0,11.0,262.0,7.0,24.0,209.0,20.0,38.0,221.0,10.0,20.0
2008-09,Akron,89,5,7,226.0,19.0,33.0,103.0,23.0,13.0,202.0,11.0,19.0,148.0,35.0,24.0,237.0,11.0,17.0
2009-10,Akron,108,3,9,245.0,21.0,34.0,96.0,24.0,11.0,161.0,18.0,14.0,224.0,20.0,34.0,193.0,14.0,18.0
2010-11,Akron,117,1,11,257.0,16.0,37.0,106.0,23.0,13.0,179.0,14.0,16.0,185.0,24.0,24.0,202.0,15.0,17.0
2011-12,Akron,120,1,11,276.0,17.0,38.0,68.0,22.0,12.0,200.0,14.0,18.0,175.0,24.0,29.0,231.0,4.0,25.0
2012-13,Akron,116,1,11,246.0,15.0,37.0,48.0,26.0,7.0,109.0,23.0,10.0,199.0,23.0,28.0,169.0,16.0,13.0
2013-14,Akron,108,5,7,172.0,28.0,29.0,95.0,21.0,13.0,76.0,23.0,9.0,130.0,27.0,16.0,259.0,8.0,19.0
2014-15,Akron,105,5,7,181.0,28.0,30.0,124.0,21.0,14.0,95.0,22.0,9.0,167.0,25.0,26.0,266.0,8.0,23.0
2015-16,Akron,94,8,5,,,,44.0,26.0,9.0,126.0,19.0,13.0,153.0,30.0,25.0,298.0,8.0,21.0
2016-17,Akron,108,5,7,,,,55.0,27.0,9.0,235.0,9.0,21.0,191.0,27.0,30.0,290.0,8.0,20.0
2017-18,Akron,105,7,7,,,,226.0,14.0,18.0,228.0,9.0,21.0,272.0,4.0,43.0,286.0,6.0,22.0
2018-19,Akron,108,4,8,,,,119.0,17.0,16.0,164.0,16.0,14.0,260.0,13.0,31.0,244.0,11.0,16.0
2019-20,Akron,129,0,12,298.0,1.0,11.0,73.0,22.0,7.0,181.0,15.0,15.0,226.0,6.0,19.0,163.0,16.0,12.0
2020-21,Akron,125,1,5,285.0,9.0,33.0,108.0,13.0,8.0,224.0,6.0,14.0,273.0,8.0,46.0,234.0,6.0,16.0
2021-22,Akron,128,2,10,267.0,12.0,32.0,109.0,22.0,10.0,112.0,16.0,12.0,198.0,13.0,23.0,259.0,10.0,20.0
2006-07,Alabama,40,6,7,61.0,31.0,26.0,47.0,20.0,12.0,153.0,10.0,20.0,8.0,55.0,10.0,65.0,17.0,13.0
2007-08,Alabama,38,7,6,49.0,35.0,28.0,124.0,17.0,16.0,191.0,8.0,22.0,2.0,58.0,8.0,48.0,15.0,15.0
2008-09,Alabama,9,12,2,39.0,37.0,21.0,109.0,18.0,14.0,97.0,13.0,17.0,2.0,54.0,11.0,85.0,16.0,13.0
2009-10,Alabama,3,14,0,11.0,42.0,25.0,104.0,17.0,15.0,164.0,12.0,18.0,1.0,52.0,11.0,164.0,8.0,22.0
2010-11,Alabama,3,10,3,33.0,35.0,28.0,60.0,25.0,12.0,94.0,18.0,15.0,3.0,53.0,11.0,147.0,11.0,19.0
2011-12,Alabama,1,12,1,127.0,21.0,34.0,40.0,21.0,12.0,162.0,12.0,19.0,1.0,60.0,8.0,150.0,11.0,20.0
2012-13,Alabama,1,13,1,29.0,35.0,28.0,64.0,23.0,13.0,167.0,13.0,18.0,9.0,45.0,15.0,104.0,18.0,14.0
2013-14,Alabama,2,11,2,24.0,37.0,24.0,128.0,13.0,19.0,77.0,14.0,16.0,2.0,53.0,13.0,41.0,24.0,10.0
2014-15,Alabama,2,12,2,44.0,32.0,28.0,86.0,19.0,15.0,200.0,13.0,19.0,6.0,48.0,15.0,31.0,26.0,8.0
2015-16,Alabama,1,14,1,65.0,32.0,26.0,79.0,18.0,15.0,160.0,15.0,15.0,6.0,51.0,14.0,93.0,17.0,15.0
2016-17,Alabama,1,14,1,175.0,19.0,34.0,82.0,19.0,15.0,132.0,19.0,13.0,14.0,46.0,18.0,54.0,20.0,11.0
2017-18,Alabama,1,13,1,82.0,27.0,29.0,41.0,20.0,16.0,94.0,17.0,13.0,15.0,36.0,20.0,65.0,18.0,14.0
2018-19,Alabama,2,14,1,44.0,30.0,26.0,61.0,18.0,16.0,157.0,14.0,17.0,6.0,60.0,10.0,51.0,18.0,10.0
2019-20,Alabama,4,11,2,3.0,16.0,1.0,55.0,16.0,15.0,71.0,18.0,12.0,13.0,14.0,8.0,143.0,12.0,17.0
2020-21,Alabama,1,13,0,36.0,32.0,26.0,4.0,26.0,7.0,39.0,17.0,10.0,2.0,45.0,7.0,197.0,7.0,15.0
2021-22,Alabama,2,13,2,55.0,26.0,22.0,22.0,19.0,14.0,73.0,20.0,14.0,2.0,35.0,6.0,182.0,10.0,20.0
2014-15,Appalachian St.,89,7,5,231.0,17.0,36.0,243.0,12.0,17.0,174.0,14.0,16.0,193.0,14.0,35.0,107.0,21.0,10.0
2015-16,Appalachian St.,57,11,2,241.0,18.0,36.0,262.0,9.0,22.0,259.0,10.0,20.0,243.0,11.0,45.0,80.0,22.0,8.0
2016-17,Appalachian St.,54,10,3,183.0,19.0,36.0,295.0,9.0,21.0,216.0,12.0,19.0,232.0,14.0,34.0,298.0,4.0,25.0
2017-18,Appalachian St.,63,9,4,180.0,18.0,36.0,250.0,15.0,18.0,261.0,8.0,23.0,230.0,17.0,35.0,241.0,12.0,20.0
2018-19,Appalachian St.,45,11,2,189.0,22.0,31.0,215.0,11.0,21.0,130.0,18.0,14.0,110.0,31.0,25.0,97.0,21.0,7.0
2019-20,Appalachian St.,29,13,1,62.0,10.0,6.0,181.0,16.0,15.0,228.0,11.0,19.0,188.0,12.0,9.0,166.0,13.0,17.0
2020-21,Appalachian St.,39,9,3,169.0,21.0,31.0,150.0,13.0,12.0,156.0,15.0,12.0,109.0,27.0,19.0,271.0,1.0,15.0
2021-22,Appalachian St.,33,10,4,115.0,16.0,28.0,125.0,16.0,15.0,187.0,12.0,12.0,147.0,23.0,18.0,275.0,7.0,22.0
2006-07,Arizona,45,6,6,21.0,42.0,17.0,17.0,20.0,11.0,143.0,11.0,21.0,1.0,50.0,14.0,80.0,13.0,17.0
2007-08,Arizona,34,5,7,6.0,42.0,19.0,50.0,19.0,15.0,187.0,10.0,20.0,7.0,41.0,19.0,63.0,14.0,17.0
2008-09,Arizona,17,8,5,61.0,30.0,25.0,49.0,21.0,14.0,130.0,12.0,19.0,7.0,46.0,17.0,77.0,16.0,14.0
2009-10,Arizona,32,8,5,29.0,34.0,24.0,100.0,16.0,15.0,124.0,14.0,17.0,4.0,52.0,14.0,29.0,19.0,11.0
2010-11,Arizona,29,7,6,19.0,39.0,21.0,13.0,30.0,8.0,67.0,21.0,12.0,8.0,43.0,18.0,38.0,20.0,12.0
2011-12,Arizona,50,4,8,4.0,48.0,17.0,79.0,23.0,12.0,154.0,15.0,17.0,11.0,38.0,19.0,51.0,19.0,13.0
2012-13,Arizona,46,8,5,59.0,34.0,21.0,16.0,27.0,8.0,173.0,12.0,18.0,31.0,33.0,26.0,53.0,16.0,15.0
2013-14,Arizona,26,8,5,198.0,22.0,33.0,2.0,33.0,5.0,256.0,5.0,25.0,14.0,44.0,16.0,26.0,21.0,13.0
2014-15,Arizona,25,10,4,123.0,31.0,24.0,4.0,34.0,4.0,209.0,10.0,20.0,15.0,41.0,20.0,18.0,24.0,10.0
2015-16,Arizona,54,7,6,12.0,49.0,24.0,28.0,25.0,9.0,127.0,13.0,19.0,19.0,40.0,21.0,50.0,19.0,14.0
2016-17,Arizona,79,3,9,28.0,38.0,21.0,5.0,32.0,5.0,130.0,14.0,16.0,5.0,52.0,9.0,23.0,20.0,15.0
2017-18,Arizona,43,7,6,48.0,34.0,22.0,17.0,27.0,8.0,275.0,6.0,24.0,12.0,43.0,16.0,102.0,11.0,18.0
2018-19,Arizona,64,5,7,52.0,32.0,24.0,92.0,17.0,15.0,81.0,18.0,13.0,4.0,48.0,14.0,41.0,19.0,9.0
2019-20,Arizona,72,4,8,45.0,10.0,5.0,14.0,21.0,11.0,32.0,24.0,7.0,6.0,21.0,3.0,89.0,15.0,17.0
2020-21,Arizona,98,0,5,8.0,45.0,18.0,59.0,17.0,9.0,10.0,21.0,6.0,10.0,36.0,13.0,152.0,10.0,11.0
2021-22,Arizona,106,1,11,40.0,33.0,17.0,3.0,33.0,4.0,29.0,21.0,8.0,37.0,22.0,15.0,93.0,17.0,16.0
2006-07,Arizona St.,37,7,6,4.0,49.0,15.0,223.0,8.0,22.0,16.0,31.0,5.0,4.0,54.0,17.0,32.0,16.0,15.0
2007-08,Arizona St.,16,10,3,5.0,49.0,13.0,94.0,21.0,13.0,35.0,22.0,11.0,4.0,66.0,5.0,60.0,15.0,16.0
2008-09,Arizona St.,44,5,7,6.0,51.0,14.0,24.0,25.0,10.0,22.0,26.0,9.0,10.0,47.0,19.0,64.0,13.0,18.0
2009-10,Arizona St.,58,4,8,1.0,52.0,10.0,71.0,22.0,11.0,63.0,18.0,14.0,16.0,44.0,17.0,89.0,13.0,17.0
2010-11,Arizona St.,34,6,6,7.0,43.0,18.0,156.0,12.0,19.0,47.0,20.0,11.0,1.0,60.0,6.0,83.0,13.0,18.0
2011-12,Arizona St.,24,6,7,15.0,36.0,20.0,240.0,10.0,21.0,57.0,20.0,12.0,3.0,53.0,11.0,142.0,9.0,22.0
2012-13,Arizona St.,22,8,5,20.0,37.0,22.0,94.0,22.0,13.0,158.0,13.0,18.0,8.0,50.0,12.0,42.0,20.0,14.0
2013-14,Arizona St.,8,10,4,46.0,33.0,24.0,51.0,21.0,12.0,33.0,22.0,9.0,13.0,46.0,12.0,51.0,19.0,14.0
2014-15,Arizona St.,24,10,3,34.0,34.0,21.0,90.0,18.0,16.0,13.0,29.0,6.0,20.0,36.0,22.0,36.0,20.0,14.0
2015-16,Arizona St.,37,6,7,38.0,36.0,23.0,109.0,15.0,17.0,11.0,25.0,6.0,38.0,31.0,26.0,40.0,19.0,13.0
2016-17,Arizona St.,70,5,7,106.0,23.0,32.0,126.0,15.0,18.0,34.0,19.0,12.0,26.0,31.0,22.0,114.0,12.0,20.0
2017-18,Arizona St.,47,7,6,126.0,23.0,32.0,73.0,20.0,12.0,55.0,21.0,12.0,7.0,48.0,13.0,155.0,10.0,22.0
2018-19,Arizona St.,41,7,6,39.0,38.0,19.0,62.0,23.0,11.0,23.0,20.0,10.0,24.0,35.0,20.0,90.0,13.0,15.0
2019-20,Arizona St.,43,8,5,42.0,13.0,4.0,54.0,20.0,11.0,42.0,20.0,11.0,28.0,21.0,7.0,53.0,17.0,14.0
2020-21,Arizona St.,23,2,2,40.0,33.0,22.0,147.0,11.0,14.0,137.0,12.0,12.0,13.0,32.0,14.0,226.0,6.0,14.0
2021-22,Arizona St.,39,8,5,94.0,23.0,25.0,107.0,14.0,17.0,119.0,12.0,14.0,13.0,30.0,5.0,85.0,14.0,17.0
2006-07,Arkansas,14,10,4,19.0,43.0,21.0,39.0,21.0,14.0,80.0,18.0,13.0,119.0,21.0,43.0,46.0,16.0,13.0
2007-08,Arkansas,26,8,5,38.0,34.0,24.0,33.0,23.0,12.0,107.0,17.0,13.0,37.0,37.0,29.0,140.0,12.0,19.0
2008-09,Arkansas,62,5,7,7.0,41.0,24.0,149.0,14.0,16.0,78.0,18.0,14.0,38.0,27.0,29.0,178.0,7.0,23.0
2009-10,Arkansas,15,8,5,14.0,43.0,21.0,155.0,14.0,18.0,113.0,12.0,18.0,48.0,28.0,29.0,141.0,13.0,18.0
2010-11,Arkansas,9,10,3,14.0,40.0,22.0,131.0,18.0,13.0,53.0,22.0,12.0,118.0,13.0,39.0,129.0,14.0,17.0
2011-12,Arkansas,12,11,2,9.0,46.0,22.0,116.0,18.0,14.0,27.0,24.0,9.0,42.0,29.0,28.0,67.0,18.0,13.0
2012-13,Arkansas,59,4,8,30.0,39.0,22.0,99.0,19.0,13.0,78.0,20.0,13.0,27.0,36.0,20.0,32.0,22.0,10.0
2013-14,Arkansas,71,3,9,29.0,40.0,25.0,67.0,22.0,12.0,74.0,19.0,11.0,77.0,27.0,28.0,44.0,16.0,14.0
2014-15,Arkansas,17,7,6,35.0,35.0,22.0,23.0,27.0,9.0,40.0,18.0,14.0,89.0,16.0,37.0,83.0,15.0,16.0
2015-16,Arkansas,14,8,5,124.0,26.0,29.0,134.0,16.0,16.0,142.0,12.0,18.0,71.0,17.0,39.0,61.0,17.0,13.0
2016-17,Arkansas,50,7,6,12.0,45.0,19.0,28.0,26.0,10.0,174.0,13.0,17.0,35.0,31.0,24.0,154.0,9.0,21.0
2017-18,Arkansas,69,4,8,1.0,48.0,21.0,34.0,23.0,12.0,143.0,13.0,18.0,17.0,42.0,17.0,47.0,19.0,11.0
2018-19,Arkansas,91,2,10,9.0,46.0,20.0,60.0,18.0,16.0,67.0,20.0,14.0,33.0,38.0,20.0,105.0,11.0,13.0
2019-20,Arkansas,91,2,10,47.0,11.0,5.0,43.0,20.0,12.0,29.0,24.0,8.0,24.0,17.0,6.0,165.0,11.0,19.0
2020-21,Arkansas,56,3,7,1.0,50.0,13.0,7.0,25.0,7.0,31.0,19.0,9.0,7.0,40.0,9.0,89.0,14.0,8.0
2021-22,Arkansas,21,9,4,20.0,36.0,12.0,16.0,28.0,9.0,50.0,18.0,14.0,10.0,31.0,7.0,44.0,20.0,11.0
2006-07,Arkansas St.,110,6,6,152.0,23.0,32.0,165.0,18.0,15.0,61.0,21.0,13.0,,,,111.0,21.0,14.0
2007-08,Arkansas St.,97,5,7,217.0,20.0,34.0,291.0,10.0,20.0,103.0,20.0,12.0,,,,218.0,12.0,19.0
2008-09,Arkansas St.,86,6,6,178.0,23.0,30.0,241.0,13.0,17.0,162.0,16.0,14.0,,,,146.0,21.0,12.0
2009-10,Arkansas St.,92,4,8,97.0,30.0,28.0,201.0,17.0,14.0,213.0,13.0,18.0,,,,149.0,22.0,11.0
2010-11,Arkansas St.,94,4,8,131.0,27.0,31.0,179.0,17.0,15.0,183.0,18.0,14.0,,,,163.0,17.0,12.0
2011-12,Arkansas St.,72,10,3,117.0,34.0,23.0,224.0,14.0,20.0,207.0,12.0,18.0,,,,119.0,21.0,10.0
2012-13,Arkansas St.,60,10,3,140.0,28.0,31.0,161.0,19.0,12.0,166.0,15.0,15.0,,,,118.0,19.0,14.0
2013-14,Arkansas St.,86,8,5,76.0,32.0,27.0,185.0,19.0,13.0,114.0,22.0,11.0,,,,170.0,15.0,20.0
2014-15,Arkansas St.,82,7,6,129.0,27.0,30.0,278.0,11.0,18.0,45.0,24.0,11.0,,,,65.0,21.0,10.0
2015-16,Arkansas St.,73,9,4,119.0,29.0,29.0,284.0,11.0,20.0,43.0,26.0,5.0,,,,20.0,28.0,2.0
2016-17,Arkansas St.,80,8,5,180.0,28.0,27.0,113.0,20.0,12.0,317.0,7.0,25.0,,,,55.0,25.0,8.0
2017-18,Arkansas St.,78,7,5,177.0,20.0,32.0,295.0,11.0,21.0,221.0,15.0,15.0,,,,90.0,21.0,12.0
2018-19,Arkansas St.,87,8,5,167.0,26.0,29.0,252.0,13.0,19.0,190.0,12.0,18.0,,,,117.0,17.0,12.0
2019-20,Arkansas St.,90,8,5,207.0,7.0,9.0,202.0,14.0,16.0,253.0,10.0,19.0,,,,149.0,17.0,13.0
2020-21,Arkansas St.,101,4,7,181.0,19.0,30.0,252.0,8.0,13.0,296.0,5.0,12.0,,,,188.0,8.0,10.0
2021-22,Arkansas St.,118,2,10,227.0,10.0,32.0,147.0,15.0,11.0,272.0,9.0,16.0,,,,169.0,15.0,14.0
2006-07,Army,103,3,9,166.0,25.0,23.0,224.0,15.0,16.0,145.0,24.0,6.0,253.0,15.0,36.0,158.0,21.0,8.0
2007-08,Army,115,3,9,186.0,25.0,25.0,207.0,14.0,16.0,202.0,18.0,12.0,266.0,13.0,39.0,139.0,24.0,5.0
2008-09,Army,109,3,9,122.0,36.0,21.0,277.0,11.0,19.0,173.0,19.0,12.0,264.0,21.0,34.0,70.0,26.0,4.0
2009-10,Army,110,5,7,156.0,28.0,17.0,249.0,14.0,15.0,303.0,11.0,18.0,160.0,33.0,20.0,102.0,26.0,6.0
2010-11,Army,80,7,6,187.0,22.0,26.0,279.0,11.0,19.0,250.0,13.0,16.0,234.0,28.0,25.0,154.0,18.0,14.0
2011-12,Army,96,3,9,120.0,41.0,15.0,303.0,12.0,18.0,259.0,14.0,16.0,170.0,37.0,21.0,91.0,23.0,8.0
2012-13,Army,106,2,10,200.0,29.0,23.0,208.0,16.0,15.0,148.0,22.0,9.0,173.0,35.0,26.0,155.0,20.0,9.0
2013-14,Army,113,3,9,148.0,33.0,18.0,237.0,15.0,16.0,58.0,25.0,7.0,201.0,23.0,28.0,99.0,14.0,13.0
2014-15,Army,116,4,8,268.0,21.0,26.0,235.0,15.0,15.0,101.0,23.0,8.0,205.0,23.0,27.0,200.0,14.0,16.0
2015-16,Army,109,2,10,254.0,16.0,32.0,212.0,19.0,14.0,61.0,29.0,2.0,112.0,39.0,20.0,120.0,21.0,10.0
2016-17,Army,77,8,5,234.0,25.0,31.0,267.0,13.0,19.0,161.0,22.0,9.0,121.0,36.0,21.0,146.0,20.0,11.0
2017-18,Army,65,10,3,77.0,37.0,24.0,280.0,13.0,17.0,153.0,17.0,14.0,212.0,26.0,28.0,161.0,18.0,12.0
2018-19,Army,56,11,2,151.0,35.0,26.0,239.0,13.0,19.0,291.0,11.0,19.0,211.0,26.0,30.0,200.0,14.0,15.0
2019-20,Army,84,5,8,110.0,6.0,9.0,266.0,14.0,15.0,268.0,9.0,22.0,135.0,11.0,9.0,86.0,22.0,10.0
2020-21,Army,77,9,3,117.0,28.0,25.0,124.0,11.0,10.0,248.0,9.0,11.0,108.0,16.0,17.0,1.0,6.0,3.0
2021-22,Army,61,9,4,155.0,27.0,21.0,254.0,13.0,16.0,164.0,15.0,13.0,235.0,12.0,23.0,156.0,17.0,9.0
2006-07,Auburn,12,11,2,48.0,31.0,25.0,113.0,17.0,15.0,49.0,21.0,13.0,41.0,26.0,30.0,154.0,13.0,18.0
2007-08,Auburn,18,9,4,69.0,28.0,28.0,168.0,14.0,16.0,61.0,20.0,12.0,23.0,38.0,22.0,182.0,11.0,20.0
2008-09,Auburn,49,5,7,33.0,31.0,25.0,62.0,24.0,12.0,9.0,30.0,4.0,32.0,30.0,29.0,232.0,6.0,25.0
2009-10,Auburn,26,8,5,19.0,43.0,21.0,151.0,15.0,17.0,69.0,15.0,16.0,38.0,31.0,26.0,81.0,16.0,15.0
2010-11,Auburn,7,14,0,43.0,29.0,29.0,253.0,11.0,20.0,84.0,16.0,16.0,28.0,40.0,19.0,44.0,21.0,13.0
2011-12,Auburn,51,8,5,53.0,31.0,28.0,145.0,15.0,16.0,106.0,13.0,17.0,33.0,33.0,23.0,120.0,11.0,19.0
2012-13,Auburn,67,3,9,47.0,33.0,23.0,250.0,9.0,23.0,90.0,19.0,15.0,66.0,30.0,23.0,64.0,17.0,13.0
2013-14,Auburn,12,12,2,73.0,28.0,28.0,160.0,14.0,16.0,67.0,17.0,14.0,18.0,42.0,19.0,65.0,19.0,11.0
2014-15,Auburn,8,8,5,22.0,35.0,24.0,132.0,15.0,20.0,151.0,13.0,18.0,3.0,56.0,11.0,103.0,13.0,18.0
2015-16,Auburn,30,7,6,148.0,23.0,33.0,179.0,11.0,20.0,57.0,19.0,12.0,3.0,58.0,12.0,69.0,18.0,12.0
2016-17,Auburn,11,8,5,39.0,37.0,26.0,107.0,18.0,14.0,45.0,17.0,14.0,7.0,49.0,12.0,116.0,15.0,16.0
2017-18,Auburn,9,10,4,9.0,43.0,23.0,16.0,26.0,8.0,102.0,14.0,15.0,20.0,41.0,17.0,50.0,15.0,12.0
2018-19,Auburn,12,8,5,11.0,38.0,28.0,13.0,30.0,10.0,50.0,22.0,9.0,20.0,39.0,21.0,100.0,10.0,15.0
2019-20,Auburn,10,9,4,167.0,13.0,5.0,27.0,25.0,6.0,111.0,11.0,18.0,46.0,14.0,11.0,223.0,7.0,22.0
2020-21,Auburn,19,6,5,105.0,25.0,27.0,86.0,13.0,14.0,212.0,5.0,19.0,25.0,27.0,22.0,167.0,0.0,8.0
2021-22,Auburn,20,6,7,10.0,32.0,16.0,10.0,28.0,6.0,165.0,10.0,18.0,22.0,32.0,9.0,163.0,13.0,15.0
2006-07,BYU,9,11,2,76.0,37.0,20.0,20.0,25.0,9.0,34.0,23.0,10.0,46.0,43.0,20.0,37.0,25.0,6.0
2007-08,BYU,22,11,2,221.0,22.0,36.0,25.0,27.0,8.0,121.0,13.0,16.0,41.0,44.0,20.0,8.0,24.0,8.0
2008-09,BYU,27,10,3,60.0,30.0,24.0,37.0,25.0,8.0,93.0,18.0,11.0,50.0,40.0,18.0,86.0,14.0,12.0
2009-10,BYU,27,11,2,110.0,27.0,31.0,24.0,30.0,6.0,84.0,23.0,10.0,31.0,46.0,13.0,98.0,15.0,14.0
2010-11,BYU,53,7,6,129.0,31.0,27.0,8.0,32.0,5.0,59.0,25.0,9.0,37.0,40.0,18.0,86.0,14.0,16.0
2011-12,BYU,39,10,3,157.0,22.0,27.0,47.0,26.0,9.0,44.0,26.0,7.0,32.0,45.0,15.0,57.0,21.0,9.0
2012-13,BYU,27,8,5,54.0,32.0,21.0,58.0,24.0,12.0,73.0,23.0,11.0,106.0,33.0,25.0,13.0,28.0,4.0
2013-14,BYU,30,8,5,189.0,22.0,31.0,38.0,23.0,12.0,38.0,26.0,6.0,71.0,34.0,23.0,25.0,24.0,7.0
2014-15,BYU,43,8,5,120.0,28.0,25.0,44.0,25.0,10.0,54.0,23.0,10.0,56.0,40.0,14.0,9.0,30.0,5.0
2015-16,BYU,40,9,4,56.0,37.0,17.0,67.0,26.0,11.0,16.0,26.0,6.0,50.0,36.0,21.0,11.0,28.0,4.0
2016-17,BYU,31,9,4,56.0,38.0,21.0,73.0,22.0,12.0,90.0,20.0,11.0,21.0,46.0,13.0,7.0,29.0,4.0
2017-18,BYU,93,4,9,190.0,22.0,28.0,68.0,24.0,11.0,156.0,16.0,14.0,51.0,36.0,22.0,15.0,30.0,3.0
2018-19,BYU,60,7,6,47.0,36.0,17.0,89.0,19.0,13.0,26.0,25.0,6.0,105.0,30.0,26.0,5.0,25.0,0.0
2019-20,BYU,57,7,6,84.0,7.0,9.0,9.0,23.0,8.0,96.0,17.0,11.0,42.0,14.0,9.0,21.0,26.0,5.0
2020-21,BYU,13,11,1,152.0,23.0,27.0,8.0,19.0,7.0,35.0,19.0,6.0,67.0,36.0,15.0,19.0,17.0,2.0
2021-22,BYU,40,10,3,66.0,27.0,18.0,47.0,22.0,11.0,22.0,26.0,4.0,49.0,25.0,10.0,15.0,30.0,2.0
2006-07,Ball St.,77,5,7,189.0,20.0,34.0,274.0,9.0,22.0,43.0,24.0,7.0,198.0,22.0,34.0,170.0,12.0,18.0
2007-08,Ball St.,72,7,6,150.0,28.0,25.0,298.0,6.0,24.0,153.0,15.0,15.0,138.0,36.0,32.0,254.0,5.0,25.0
2008-09,Ball St.,47,12,2,209.0,26.0,25.0,262.0,14.0,17.0,45.0,26.0,9.0,134.0,29.0,24.0,203.0,12.0,21.0
2009-10,Ball St.,109,2,10,119.0,29.0,29.0,214.0,15.0,15.0,180.0,14.0,17.0,55.0,43.0,16.0,153.0,15.0,16.0
2010-11,Ball St.,105,4,8,238.0,15.0,35.0,165.0,19.0,13.0,237.0,9.0,21.0,114.0,34.0,24.0,50.0,24.0,5.0
2011-12,Ball St.,103,6,6,256.0,14.0,36.0,254.0,15.0,15.0,262.0,9.0,21.0,67.0,40.0,15.0,36.0,25.0,8.0
2012-13,Ball St.,71,9,4,188.0,31.0,24.0,233.0,15.0,15.0,168.0,17.0,16.0,65.0,37.0,17.0,128.0,14.0,17.0
2013-14,Ball St.,64,10,3,60.0,39.0,18.0,311.0,5.0,25.0,132.0,18.0,16.0,76.0,33.0,19.0,64.0,24.0,8.0
2014-15,Ball St.,95,5,7,145.0,33.0,25.0,289.0,7.0,23.0,130.0,17.0,14.0,75.0,34.0,25.0,129.0,17.0,13.0
2015-16,Ball St.,104,3,9,175.0,32.0,26.0,159.0,21.0,14.0,64.0,21.0,9.0,170.0,22.0,32.0,192.0,15.0,17.0
2016-17,Ball St.,103,4,8,163.0,30.0,28.0,175.0,21.0,13.0,123.0,21.0,10.0,117.0,30.0,28.0,210.0,13.0,18.0
2017-18,Ball St.,129,2,10,150.0,32.0,26.0,125.0,19.0,13.0,44.0,24.0,6.0,118.0,37.0,19.0,120.0,19.0,11.0
2018-19,Ball St.,114,4,8,116.0,38.0,19.0,133.0,16.0,17.0,220.0,8.0,23.0,124.0,34.0,20.0,108.0,21.0,8.0
2019-20,Ball St.,88,5,7,209.0,7.0,9.0,112.0,17.0,13.0,76.0,20.0,10.0,92.0,18.0,9.0,84.0,20.0,12.0
2020-21,Ball St.,66,7,1,50.0,38.0,18.0,195.0,10.0,13.0,136.0,14.0,11.0,83.0,37.0,18.0,182.0,9.0,12.0
2021-22,Ball St.,103,6,7,71.0,32.0,14.0,252.0,13.0,17.0,120.0,20.0,13.0,205.0,13.0,24.0,29.0,30.0,4.0
2006-07,Baylor,82,4,8,30.0,35.0,27.0,146.0,15.0,16.0,20.0,26.0,8.0,10.0,51.0,16.0,78.0,18.0,15.0
